,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
0,1800petmeds,2018-07-17,1771,121,Retail,41,30,159898,16831,1
1,1st source bank,2018-07-17,3523,921,Banking,191,0,5316,1048,1
2,21 club,2017-11-07,610,167,Restaurants,9831,9831,6994,2279,1
3,3m,2018-07-17,852348,58944,Mechanical or Industrial Engineering,3416,0,4497193,39516,1
4,aar corp.,2017-11-12,17350,3712,Airlines/Aviation,174,174,1742,346,0
5,"aaron brothers, inc.",2018-07-17,1327,466,Retail,0,663,19112,1273,0
6,"aaron's, inc",2018-07-17,11718,5098,Retail,4,34977,974247,64655,0
7,abb,2018-07-17,1154903,95566,Electrical/Electronic Manufacturing,1075,0,577590,57027,1
8,abbott,2018-07-17,1122343,69863,Hospital &amp; Health Care,0,0,201441,100805,1
9,about.com,2018-02-17,7624,443,Internet,224,0,235102,56076,1
